,Year,Value
14440,1866,"80,000"
14435,1867,"88,000"
14430,1868,"102,000"
14425,1869,"100,000"
14420,1870,"95,000"
14415,1871,"88,000"
14410,1872,"94,000"
14405,1873,"92,000"
14400,1874,"111,000"
14395,1875,"124,000"
14390,1876,"114,000"
14385,1877,"123,000"
14380,1878,"121,000"
14375,1879,"129,000"
14370,1880,"130,000"
14365,1881,"140,000"
14360,1882,"156,000"
14355,1883,"160,000"
14350,1884,"167,000"
14345,1885,"171,000"
14340,1886,"175,000"
14335,1887,"180,000"
14330,1888,"195,000"
14325,1889,"200,000"
14320,1890,"200,000"
14315,1891,"218,000"
14310,1892,"208,000"
14305,1893,"233,000"
14300,1894,"317,000"
14295,1895,"374,000"
14290,1896,"320,000"
14285,1897,"270,000"
14280,1898,"300,000"
14275,1899,"312,000"
14270,1900,"310,000"
14265,1901,"315,000"
14260,1902,"325,000"
14255,1903,"335,000"
14250,1904,"340,000"
14245,1905,"335,000"
14240,1906,"340,000"
14235,1907,"335,000"
14230,1908,"341,000"
14225,1909,"365,000"
14220,1910,"336,000"
14215,1911,"313,000"
14210,1912,"297,000"
14205,1913,"288,000"
14200,1914,"288,000"
14195,1915,"282,000"
14190,1916,"271,000"
14185,1917,"320,000"
14180,1918,"288,000"
14175,1919,"281,000"
14170,1920,"309,000"
14165,1921,"327,000"
14160,1922,"343,000"
14155,1923,"292,000"
14150,1924,"245,000"
14145,1925,"223,000"
14140,1926,"212,000"
14135,1927,"263,000"
14130,1928,"271,000"
14124,1929,"225,000"
14118,1930,"232,000"
14112,1931,"267,000"
14106,1932,"291,000"
14100,1933,"311,000"
14094,1934,"323,000"
14088,1935,"317,000"
14082,1936,"263,000"
14076,1937,"260,000"
14070,1938,"222,000"
14064,1939,"223,000"
14058,1940,"214,000"
14052,1941,"182,000"
14046,1942,"169,000"
14040,1943,"213,000"
14034,1944,"174,000"
14028,1945,"162,000"
14022,1946,"143,000"
14016,1947,"107,000"
14010,1948,"97,000"
13994,1949,"92,000"
13976,1950,"85,000"
13958,1951,"64,200"
13940,1952,"60,900"
13922,1953,"65,100"
13904,1954,"58,700"
13886,1955,"57,000"
13868,1956,"50,600"
13850,1957,"47,000"
13832,1958,"48,500"
13814,1959,"49,200"
13796,1960,"45,800"
13778,1961,"47,900"
13760,1962,"44,700"
13742,1963,"42,800"
13724,1964,"41,900"
13706,1965,"47,500"
13688,1966,"48,800"
13670,1967,"46,900"
13652,1968,"45,600"
13634,1969,"44,800"
13616,1970,"45,000"
13598,1971,"45,100"
13580,1972,"40,300"
13562,1973,"40,000"
13544,1974,"42,400"
13526,1975,"36,400"
13508,1976,"41,600"
13490,1977,"39,800"
13472,1978,"42,300"
13454,1979,"40,600"
13425,1980,"43,300"
13396,1981,"44,800"
13367,1982,"49,300"
13337,1983,"51,800"
13307,1984,"53,800"
13277,1985,"55,800"
13248,1986,"41,500"
13219,1987,"46,800"
13190,1988,"43,000"
13161,1989,"40,000"
13132,1990,"44,500"
13103,1991,"45,500"
13074,1992,"48,000"
13045,1993,"50,500"
13016,1994,"52,000"
12992,1995,"54,500"
12968,1996,"46,000"
12943,1997,"47,500"
12896,1998,"46,500"
12764,1999,"47,500"
12603,2000,"47,500"
12446,2001,"45,000"
12261,2002,"45,500"
12081,2003,"45,500"
11899,2004,"42,000"
11726,2005,"42,800"
11541,2006,"43,000"
11348,2007,"42,000"
11165,2008,"42,500"
10985,2009,"43,500"
10802,2010,"43,500"
10614,2011,"44,000"
10428,2012,"46,000"
10254,2013,"44,000"
10076,2014,"42,500"
9919,2015,"45,000"
9717,2016,"47,000"
9481,2017,"49,500"
9256,2018,"48,000"
9075,2019,"48,500"
8932,2020,"45,000"
8824,2021,"46,500"
